day,post,title,text,image_file,note
1,1,Launch announcement,"Ironwake is out now on Steam and Android.

A dark-fantasy roguelite where you dive into three dungeons, fight turn-based battles, and raise the creatures you find down there.

25% off this week.

https://store.steampowered.com/app/4954740/Ironwake/

#indiegame #roguelite #pixelart #gamedev #IndieGameDev",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_01\post_1.png,Pin this one. Add the Play Store link in a reply once the listing is live.
1,2,"What the game is, in one breath","What is Ironwake?

- Turn-based combat with action points
- Three dungeons, five difficulty tiers each
- A camp full of people who remember you
- 47 creatures you can hatch, raise and fight beside

Out now: https://store.steampowered.com/app/4954740/Ironwake/",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_01\post_2.png,
1,3,First-day thank you + ask,"Day one. Thank you to everyone who picked it up.

If you run into anything weird, tell us here or on the Steam forum - we're reading everything and patching fast.

If you're enjoying it, a Steam review helps a small team more than you'd think.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_01\post_3.png,
2,1,Pets: the idea,"Let's talk about the creatures.

Deep in the dungeon you find eggs. Bring one back to camp and Bairc, the creature keeper, raises it for you.

It grows, it learns to fight beside you, and eventually it becomes something the dungeon has never seen.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_02\post_1.png,
2,2,Three stages,"Every creature grows through three stages: baby, young adult, adult.

Raise one far enough and it can cross into a fourth - Awakened - with a permanent gift of your choosing.

This is the Saber Hound.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_02\post_2.png,
2,3,Found alive,"Not every creature comes from an egg.

Some are found alive in the dungeon - already grown - and just... follow you home.

A few of those arrive corrupted. You can cure that. Or not.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_02\post_3.png,
3,1,Scions,"Every boss in Ironwake has kin.

Beat the boss and there's a chance a Scion drops - a creature only that boss can give you. Nine of them exist.

Each Scion has a signature move no other creature has.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_03\post_1.png,
3,2,Signature move spotlight: Vaultling,"Signature move spotlight: the Vaultling.

Warden's Seal - once per fight, the first enemy ability that would hit you breaks against the seal. Negated. Gone.

Its parent is the Vault Sentinel.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_03\post_2.png,A short clip of the seal going off beats the card if you have one.
3,3,Signature move spotlight: Crypt Bat,"Signature move spotlight: the Crypt Bat.

Echo Shriek - the first time you drop below 40% health in a fight, it shrieks and EVERY enemy on the field is left Exposed.

That's the moment you hit them with everything.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_03\post_3.png,
4,1,Bairc's garden,"Your creatures don't live in a menu. They live in Bairc's garden.

Walk the grounds, feed them, toss a crumb in the pond, stack a stone on the cairn. Creatures you donate stay there for good.

(It's getting a big customization update after launch.)",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_04\post_1.png,A garden screenshot/clip beats the lineup if you have one.
4,2,Feeding + favored treats,"Feeding is simple: basic feed grows them, good food grows them faster, treats build the bond.

Every species has a favored treat. Get it right and the bond jumps. A Frostmarten will chew a Frost-Root for hours.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_04\post_2.png,
4,3,Bond,"Bond matters.

A creature that trusts you fights harder for you. Bond unlocks its deeper abilities and, at the top, its Awakened form.

It's not a grind. It's feeding the thing that saved your life on floor 3.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_04\post_3.png,
5,1,Three classes,"Three classes.

Arcanist - spells, souls, big bursts.
Bloodwarden - heavy hits, blood magic, heals by hurting.
Shadowstrider - dodges, traps, crits.

Every ability has its own talent web, so two Arcanists rarely play the same.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_05\post_1.png,
5,2,Arcanist,"The Arcanist runs on Souls.

Cheap spells feed the reserve, big spells spend it. Soulfire, Void Drain, Arcane Burst - chain them right and the last one hits like a truck.

Spam it and it fades. Play the rhythm.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_05\post_2.png,
5,3,Shadowstrider,"The Shadowstrider sets the table before the fight starts.

Bear traps, snares, triplines. Blink out of a hit. Then Snipe whatever's left standing in the wreckage.

Rooted enemies can't reach you. Ranged ones can. Plan for both.",C:\Users\miles\GameMakerProjects\Ironwake\social media posts\day_05\post_3.png,
